billId,tax,total,date,hour
102,6.25,5.85,05/06/2018,1:51
103,6.0,39.08,08/21/2018,16:57
104,4.0,18.39,10/05/2018,18:35
105,6.0,18.35,12/01/2018,20:49
106,6.0,36.47,03/15/2018,17:6
107,6.0,28.45,03/04/2018,1:42
108,5.75,25.98,11/12/2018,21:48
109,6.87,30.39,12/06/2018,16:26
110,6.0,25.62,08/14/2018,15:19
111,4.75,26.16,12/05/2018,23:3
112,6.62,32.99,03/16/2018,18:36
113,6.0,40.73,06/12/2018,20:20
114,7.25,42.55,09/19/2018,18:48
115,6.0,34.53,08/12/2018,17:5
116,6.25,23.33,03/06/2018,0:42
117,6.25,23.20,10/06/2018,19:24
118,6.0,26.43,12/01/2018,21:36
119,4.0,11.19,01/18/2018,23:58
120,6.25,25.62,06/14/2018,20:15
121,4.0,28.57,07/22/2018,19:23
122,4.0,32.13,10/28/2018,0:23
123,6.0,20.32,02/03/2018,23:47
124,4.0,8.47,07/20/2018,22:9
125,6.0,32.89,04/25/2018,16:41
126,7.25,17.41,06/09/2018,20:33
127,5.75,16.08,09/08/2018,1:29
128,6.25,34.42,08/20/2018,16:27
129,6.25,8.15,03/25/2018,15:45
130,6.62,32.41,10/15/2018,1:58
131,4.0,5.43,06/14/2018,23:33
132,5.75,39.76,08/04/2018,16:36
133,4.0,35.47,07/14/2018,0:31
134,7.25,30.91,06/05/2018,23:17
135,6.62,22.44,07/21/2018,20:3
136,6.87,27.93,07/05/2018,1:40
137,6.0,36.01,11/11/2018,18:48
138,6.25,34.27,02/21/2018,1:2
139,6.62,35.38,04/06/2018,17:11
140,6.25,5.57,11/26/2018,0:31
141,6.0,16.98,01/02/2018,1:58
142,6.62,24.32,08/13/2018,20:37
143,4.0,16.22,01/20/2018,22:39
144,6.25,35.29,08/13/2018,18:53
145,4.0,18.38,09/19/2018,20:39
146,5.0,31.51,12/11/2018,23:11
147,5.75,8.72,12/02/2018,23:41
148,4.0,27.83,06/02/2018,1:51
149,6.25,23.36,11/24/2018,16:51
150,6.62,24.77,07/27/2018,15:20
151,4.0,6.27,10/13/2018,18:42
152,4.0,31.46,04/08/2018,1:26
153,6.0,9.93,07/13/2018,15:50
154,6.87,16.40,07/13/2018,18:23
155,7.25,9.81,12/26/2018,1:56
156,4.0,18.34,01/04/2018,20:10
157,6.25,21.90,07/18/2018,16:38
158,4.0,32.24,03/16/2018,18:37
159,4.0,34.34,02/20/2018,16:4
160,7.25,18.09,02/25/2018,20:19
161,6.62,28.83,02/24/2018,21:12
162,4.75,26.68,05/22/2018,20:2
163,6.0,25.16,01/01/2018,23:9
164,7.25,29.47,02/03/2018,20:28
165,6.0,18.87,08/23/2018,19:17
166,6.0,40.44,01/23/2018,18:48
167,7.0,40.71,12/12/2018,22:25
168,6.0,31.40,10/23/2018,0:46
169,6.0,11.60,11/21/2018,1:36
170,4.0,28.60,04/14/2018,17:29
171,5.3,30.85,08/23/2018,20:50
172,4.75,14.64,05/01/2018,23:31
173,6.25,26.93,01/20/2018,20:14
174,4.0,14.83,03/27/2018,15:47
175,6.62,14.50,09/16/2018,0:42
176,4.75,9.35,11/02/2018,22:30
177,6.25,25.11,04/27/2018,17:25
178,4.0,10.96,09/01/2018,18:40
179,6.25,5.47,06/26/2018,21:55
180,4.0,20.08,04/15/2018,15:2
181,6.35,26.16,09/28/2018,18:29
182,6.25,21.40,08/22/2018,22:27
183,5.75,8.63,11/01/2018,20:8
184,4.0,7.61,04/12/2018,21:48
185,6.62,9.64,09/08/2018,15:24
186,5.75,6.12,04/03/2018,19:5
187,7.0,21.77,10/09/2018,15:12
188,5.75,5.29,01/01/2018,22:58
189,6.25,27.69,02/13/2018,23:48
190,6.25,29.15,09/23/2018,16:54
191,6.0,15.24,02/06/2018,1:39
192,6.62,5.59,06/28/2018,19:6
193,6.25,11.29,02/03/2018,18:51
194,6.25,8.88,07/05/2018,21:16
195,4.0,30.24,02/13/2018,18:33
196,7.0,5.98,12/21/2018,20:17
197,4.0,18.51,05/22/2018,0:20
198,4.0,26.74,07/16/2018,17:53
199,4.0,22.10,04/12/2018,23:25
200,5.75,8.58,12/20/2018,22:19
201,6.0,33.32,05/06/2018,1:28
202,4.0,21.60,12/10/2018,19:48
203,6.0,28.45,12/11/2018,19:40
204,6.0,27.18,10/20/2018,21:56
205,6.25,19.36,01/21/2018,0:56
206,6.0,19.23,02/27/2018,0:22
207,6.25,24.85,06/04/2018,15:22
208,6.0,19.73,02/24/2018,17:3
209,6.0,18.63,12/24/2018,16:29
210,6.0,6.05,02/01/2018,22:31
211,6.0,27.59,02/27/2018,0:34
212,4.0,32.48,10/11/2018,22:10
213,4.0,22.90,10/22/2018,1:3
214,6.62,22.35,12/26/2018,21:11
215,5.75,11.41,11/03/2018,20:33
216,6.0,10.73,04/04/2018,0:52
217,4.0,16.76,06/03/2018,15:58
218,6.0,32.98,09/11/2018,17:11
219,4.0,9.39,12/01/2018,21:6
220,6.25,24.38,07/25/2018,0:22
221,4.75,12.50,07/28/2018,16:58
222,4.0,20.34,01/06/2018,16:42
223,6.0,29.91,06/08/2018,17:8
224,6.0,24.94,05/10/2018,18:14
225,6.62,31.34,12/11/2018,19:18
226,5.3,10.32,09/03/2018,17:26
227,4.0,13.47,06/13/2018,18:16
228,4.0,27.72,03/19/2018,17:54
229,6.25,38.74,11/28/2018,18:17
230,6.0,16.66,03/27/2018,23:48
231,6.62,6.98,11/08/2018,18:46
232,6.0,8.40,09/25/2018,21:53
233,6.25,18.70,11/02/2018,21:17
234,6.0,18.72,12/04/2018,16:26
235,7.25,39.98,10/28/2018,20:19
236,6.0,11.06,01/10/2018,20:17
237,4.75,9.11,02/23/2018,15:12
238,6.87,11.58,07/02/2018,20:18
239,4.0,25.07,10/03/2018,1:30
240,4.0,10.50,04/11/2018,22:7
241,4.75,10.89,08/03/2018,19:51
242,4.0,21.94,02/06/2018,1:36
243,7.25,19.74,09/01/2018,18:56
244,6.0,13.50,05/12/2018,21:22
245,4.75,11.06,05/07/2018,1:32
246,5.3,23.12,06/01/2018,17:11
247,6.87,46.31,09/06/2018,15:17
248,5.75,18.86,01/14/2018,20:45
249,6.62,7.38,02/07/2018,18:29
250,4.0,6.27,11/12/2018,18:11
251,6.62,33.39,08/26/2018,18:43
252,6.25,30.81,05/17/2018,18:39
253,6.87,11.58,04/18/2018,19:9
254,6.62,23.91,03/04/2018,18:49
255,6.0,23.15,12/10/2018,21:43
256,6.25,29.03,06/28/2018,15:40
257,6.62,28.32,06/17/2018,21:2
258,4.75,34.83,05/23/2018,22:24
259,6.0,23.30,10/04/2018,16:22
260,6.0,25.58,03/20/2018,19:42
261,4.0,15.78,02/22/2018,22:8
262,6.35,9.60,11/11/2018,16:50
263,6.62,20.89,01/20/2018,23:25
264,4.0,14.85,03/21/2018,19:44
265,6.0,23.96,12/04/2018,17:47
266,4.0,26.55,06/12/2018,20:33
267,6.0,28.83,12/12/2018,20:23
268,4.0,12.29,11/25/2018,15:5
269,6.25,16.11,05/01/2018,15:14
270,4.0,17.26,08/07/2018,18:13
271,4.0,18.21,02/19/2018,19:10
272,6.0,16.02,02/20/2018,20:34
273,6.25,9.03,08/26/2018,16:34
274,4.0,5.47,03/18/2018,15:43
275,5.3,10.44,04/14/2018,23:25
276,6.62,25.11,04/12/2018,16:58
277,6.25,21.56,07/01/2018,19:54
278,6.0,7.99,06/09/2018,22:2
279,4.0,27.74,01/10/2018,1:15
280,6.62,11.33,10/09/2018,18:35
281,6.62,31.44,03/03/2018,15:44
282,5.3,7.87,10/25/2018,18:59
283,4.0,10.88,12/13/2018,17:7
284,4.0,9.71,06/22/2018,18:6
285,6.0,35.14,11/24/2018,22:28
286,7.0,27.07,09/03/2018,18:19
287,6.35,10.69,06/10/2018,20:24
288,6.0,32.46,03/22/2018,15:29
289,6.25,22.50,11/20/2018,20:26
290,6.25,14.94,11/05/2018,16:25
291,6.25,7.07,08/20/2018,22:50
292,4.0,33.83,01/22/2018,19:29
293,6.0,6.70,06/04/2018,1:44
294,5.3,35.03,07/14/2018,1:32
295,5.3,24.11,02/07/2018,22:36
296,6.62,26.22,07/10/2018,0:39
297,4.0,7.17,02/28/2018,1:21
298,4.0,20.99,01/03/2018,15:10
299,6.0,22.48,03/26/2018,20:6
300,6.62,23.25,02/06/2018,22:37
301,4.0,31.98,06/02/2018,15:12
302,7.25,31.64,02/21/2018,21:19
303,6.0,41.69,08/07/2018,16:53
304,6.35,10.39,12/06/2018,20:51
305,6.62,34.27,05/21/2018,21:57
306,6.0,31.63,11/22/2018,18:57
307,6.25,10.01,01/17/2018,21:53
308,4.0,14.58,05/20/2018,0:38
309,6.25,29.43,05/02/2018,22:3
310,6.62,9.16,12/09/2018,1:57
311,4.0,30.58,06/27/2018,23:34
312,6.62,26.45,06/19/2018,22:25
313,6.0,9.77,04/25/2018,23:47
314,5.75,33.02,02/12/2018,15:32
315,7.25,6.40,12/24/2018,15:41
316,6.0,6.97,04/07/2018,19:14
317,6.62,36.29,09/23/2018,21:55
318,4.0,10.60,01/19/2018,20:3
319,6.62,22.01,12/08/2018,15:37
320,6.62,22.86,10/07/2018,20:8
321,6.87,24.46,03/23/2018,20:15
322,6.0,21.61,03/11/2018,22:14
323,5.0,16.59,11/09/2018,22:31
324,6.87,19.84,10/15/2018,21:38
325,6.0,6.70,11/11/2018,15:3
326,6.0,36.92,11/23/2018,18:16
327,6.0,16.93,03/05/2018,17:35
328,6.0,5.52,12/24/2018,22:11
329,6.62,15.97,07/27/2018,18:15
330,6.25,39.09,08/05/2018,17:15
331,6.0,16.14,07/06/2018,1:23
332,6.0,30.66,01/10/2018,15:24
333,6.0,38.38,12/10/2018,16:27
334,4.0,16.84,03/02/2018,18:51
335,6.0,16.56,12/26/2018,16:57
336,6.0,8.96,07/03/2018,18:41
337,7.0,31.12,09/05/2018,19:29
338,6.0,36.08,03/07/2018,23:13
339,6.25,38.51,06/19/2018,19:4
340,5.75,29.05,02/24/2018,22:24
341,6.35,33.21,12/03/2018,22:51
342,4.0,24.99,11/15/2018,21:32
343,6.25,29.98,07/21/2018,20:37
344,6.0,38.19,04/12/2018,17:49
345,4.0,12.37,10/18/2018,19:23
346,4.0,27.01,10/03/2018,21:34
347,6.62,19.94,05/28/2018,0:4
348,6.62,10.33,07/11/2018,15:13
349,6.0,7.72,05/12/2018,17:31
350,6.25,26.90,02/17/2018,1:7
351,4.0,8.77,06/17/2018,21:27
352,4.0,35.02,04/01/2018,0:34
353,4.0,18.48,04/15/2018,19:16
354,6.62,9.04,10/23/2018,23:3
355,6.62,26.86,02/07/2018,22:42
356,6.25,21.40,02/02/2018,18:3
357,4.75,27.08,02/03/2018,18:30
358,4.0,19.41,08/13/2018,21:29
359,6.0,20.65,09/23/2018,18:24
360,6.25,19.60,09/27/2018,15:30
361,4.0,27.41,09/23/2018,21:53
362,4.75,30.75,03/05/2018,15:50
363,6.0,29.40,07/24/2018,23:22
364,6.0,16.82,04/16/2018,19:38
365,6.25,22.15,05/06/2018,17:7
366,6.62,28.18,10/20/2018,17:38
367,6.25,34.26,12/16/2018,22:56
368,6.0,7.08,08/15/2018,15:33
369,6.35,15.92,07/12/2018,0:19
370,6.0,14.99,01/03/2018,1:25
371,6.62,33.81,10/16/2018,20:24
372,6.25,10.26,01/08/2018,17:45
373,5.0,23.49,07/22/2018,23:26
374,6.25,17.64,12/06/2018,17:34
375,7.0,30.91,01/17/2018,21:16
376,6.25,17.47,07/24/2018,1:25
377,6.25,15.48,08/22/2018,16:32
378,6.0,22.26,03/23/2018,18:34
379,6.0,19.78,02/07/2018,15:33
380,6.25,19.83,05/01/2018,18:25
381,6.0,20.43,11/09/2018,15:28
382,5.75,31.55,03/05/2018,23:15
383,6.0,32.52,02/26/2018,19:2
384,4.75,9.74,04/09/2018,19:2
385,6.25,39.54,12/17/2018,22:57
386,6.0,11.97,03/22/2018,19:32
387,6.0,38.72,03/17/2018,17:24
388,4.0,9.79,11/05/2018,23:55
389,4.0,10.96,06/06/2018,0:41
390,6.0,19.61,07/20/2018,18:13
391,6.0,10.34,08/01/2018,1:10
392,6.0,7.52,12/06/2018,21:51
393,6.25,25.01,11/17/2018,15:1
394,6.62,8.40,10/07/2018,21:29
395,6.62,25.62,02/06/2018,22:55
396,6.25,23.66,01/16/2018,23:14
397,6.0,8.10,11/16/2018,0:38
398,6.25,24.16,01/13/2018,21:44
399,6.0,24.33,04/19/2018,16:49
400,6.0,5.61,11/15/2018,16:54
401,6.0,20.64,05/11/2018,22:47
402,6.25,33.15,06/21/2018,15:24
403,4.0,33.85,09/16/2018,21:26
404,5.0,40.82,01/27/2018,17:11
405,4.0,7.20,01/27/2018,19:4
406,6.62,31.43,10/10/2018,17:54
407,4.0,6.71,05/16/2018,20:30
408,6.35,25.66,06/06/2018,22:7
409,5.3,6.52,08/16/2018,1:56
410,6.0,18.02,11/23/2018,17:44
411,4.0,28.69,06/14/2018,15:31
412,6.0,10.89,08/14/2018,1:27
413,6.25,14.37,12/02/2018,22:33
414,4.0,38.28,09/06/2018,15:42
415,4.0,15.32,06/14/2018,15:38
416,6.0,6.56,09/06/2018,22:56
417,6.62,10.85,04/01/2018,20:1
418,6.0,5.52,08/10/2018,15:48
419,6.0,31.05,12/20/2018,15:9
420,6.87,16.34,06/07/2018,18:25
421,6.0,39.21,07/22/2018,16:54
422,6.0,17.25,07/18/2018,19:2
423,4.0,30.94,08/07/2018,15:29
424,7.0,15.18,06/04/2018,20:44
425,6.62,15.43,03/28/2018,18:50
426,6.0,9.95,06/12/2018,16:16
427,6.0,23.51,10/26/2018,23:46
428,6.0,16.51,07/05/2018,20:48
429,4.0,31.39,12/02/2018,1:34
430,4.0,35.16,12/12/2018,15:58
431,5.75,25.65,10/24/2018,16:57
432,6.62,19.85,01/27/2018,23:45
433,6.25,12.91,05/12/2018,15:8
434,6.0,13.06,11/08/2018,15:23
435,4.75,6.96,04/19/2018,15:51
436,7.25,10.88,11/23/2018,23:43
437,6.0,8.28,08/12/2018,18:11
438,6.62,34.13,01/04/2018,18:2
439,4.0,5.89,08/15/2018,18:56
440,5.0,14.55,04/16/2018,16:2
441,7.0,16.42,12/06/2018,17:37
442,5.3,25.80,12/15/2018,0:34
443,6.62,26.62,01/17/2018,0:3
444,6.25,16.30,08/02/2018,21:54
445,6.0,31.72,11/14/2018,16:50
446,6.35,8.76,03/20/2018,23:13
447,6.0,37.03,12/02/2018,15:53
448,6.0,18.08,05/18/2018,19:52
449,6.25,12.91,02/13/2018,15:22
450,4.0,25.85,02/08/2018,21:24
451,4.0,37.03,05/12/2018,16:24
452,6.0,6.44,08/26/2018,19:4
453,6.62,30.31,02/26/2018,1:24
454,6.25,16.61,10/04/2018,16:19
455,7.0,26.19,07/23/2018,1:50
456,5.75,20.46,12/17/2018,16:22
457,4.0,5.74,12/07/2018,19:50
458,6.25,26.40,06/21/2018,1:51
459,4.0,33.04,11/25/2018,22:51
460,7.0,36.40,08/14/2018,19:34
461,6.0,26.34,02/18/2018,1:15
462,6.25,26.32,09/21/2018,23:18
463,6.62,14.24,05/07/2018,20:34
464,4.0,23.64,12/10/2018,17:6
465,4.0,17.07,03/18/2018,17:24
466,6.87,25.64,07/06/2018,22:35
467,6.0,35.83,03/01/2018,15:23
468,4.0,27.31,03/24/2018,0:43
469,6.62,37.55,01/01/2018,23:31
470,4.0,9.82,03/13/2018,0:51
471,6.87,9.45,08/27/2018,23:23
472,5.75,37.16,05/13/2018,19:25
473,6.0,20.36,01/08/2018,21:50
474,6.62,18.95,03/16/2018,15:58
475,4.0,32.33,08/09/2018,16:8
476,6.25,19.02,09/15/2018,21:7
477,5.75,15.77,02/16/2018,19:57
478,5.75,25.71,02/22/2018,0:16
479,4.75,16.72,11/04/2018,0:6
480,6.25,17.55,09/25/2018,21:23
481,6.0,20.69,09/14/2018,17:23
482,4.0,7.36,06/02/2018,20:24
483,6.25,8.56,10/16/2018,19:11
484,7.25,25.93,07/17/2018,16:49
485,6.0,16.50,04/27/2018,22:2
486,4.75,20.06,09/10/2018,15:39
487,6.62,35.46,06/03/2018,15:23
488,6.62,17.33,01/13/2018,23:52
489,7.25,8.53,08/01/2018,0:4
490,7.0,7.97,03/01/2018,16:1
491,6.25,17.91,04/26/2018,21:31
492,6.62,7.70,09/12/2018,15:55
493,6.62,8.01,02/07/2018,15:32
494,6.25,11.26,12/17/2018,0:38
495,7.0,11.12,04/26/2018,18:8
496,6.0,13.29,06/15/2018,15:3
497,6.0,34.49,12/11/2018,19:52
498,6.62,20.23,07/24/2018,19:15
499,6.0,9.03,12/05/2018,16:2
500,6.0,7.49,01/24/2018,19:7
501,6.0,5.95,12/21/2018,23:34
502,6.62,5.86,02/14/2018,17:11
503,4.0,7.58,08/20/2018,18:5
504,4.0,13.08,10/03/2018,16:47
505,6.0,31.35,03/25/2018,15:52
506,6.0,8.84,06/12/2018,21:26
507,4.75,15.26,10/06/2018,20:27
508,6.0,22.53,07/15/2018,18:8
509,4.0,24.88,10/02/2018,20:27
510,6.62,28.96,03/09/2018,22:21
511,5.3,20.68,01/05/2018,1:52
512,6.0,19.13,08/23/2018,20:55
513,7.0,6.11,06/25/2018,20:28
514,6.62,7.07,06/11/2018,0:3
515,6.25,33.90,11/02/2018,17:32
516,4.0,15.02,02/22/2018,18:14
517,7.0,22.11,08/12/2018,19:58
518,5.75,15.42,10/12/2018,21:53
519,4.75,29.60,04/03/2018,0:13
520,6.62,30.39,05/25/2018,16:33
521,4.0,12.97,03/15/2018,19:37
522,5.75,11.41,06/18/2018,16:25
523,7.25,36.99,06/23/2018,18:19
524,6.0,16.76,11/06/2018,15:11
525,6.25,5.47,06/28/2018,17:51
526,5.75,15.45,02/04/2018,20:1
527,6.0,7.11,06/19/2018,18:40
528,6.62,5.47,01/25/2018,15:18
529,5.75,25.68,09/03/2018,23:20
530,6.0,5.53,02/06/2018,15:41
531,6.0,26.96,06/07/2018,0:47
532,6.0,38.02,01/17/2018,22:12
533,6.0,10.15,08/24/2018,23:11
534,7.25,19.79,08/16/2018,16:7
535,7.0,30.84,04/10/2018,17:30
536,6.0,10.12,05/21/2018,0:22
537,7.25,10.54,11/24/2018,21:12
538,4.0,23.31,03/03/2018,16:56
539,5.75,26.04,02/02/2018,17:6
540,6.25,10.12,02/21/2018,23:55
541,6.87,14.26,10/27/2018,19:5
542,6.0,37.22,07/20/2018,23:53
543,5.75,26.61,03/19/2018,15:50
544,6.0,18.31,04/12/2018,23:51
545,6.25,30.70,03/26/2018,22:36
546,6.25,35.09,01/05/2018,0:11
547,4.0,13.25,12/09/2018,18:47
548,5.75,8.52,09/19/2018,17:50
549,4.0,23.06,05/03/2018,15:21
550,6.35,28.55,06/07/2018,21:8
551,6.0,15.16,01/21/2018,22:22
552,7.25,8.71,08/10/2018,0:9
553,6.25,10.34,12/22/2018,0:1
554,4.0,17.09,01/19/2018,0:33
555,7.25,18.37,10/09/2018,1:4
556,4.0,9.39,09/14/2018,1:7
557,6.25,36.09,11/18/2018,21:20
558,4.0,14.58,08/24/2018,0:50
559,6.62,5.76,10/26/2018,22:2
560,4.0,16.49,06/04/2018,0:57
561,6.0,7.31,07/24/2018,1:9
562,6.35,7.61,02/19/2018,22:38
563,6.0,7.04,05/26/2018,23:42
564,6.0,22.04,06/16/2018,19:41
565,4.0,15.16,05/01/2018,17:36
566,4.0,5.43,07/05/2018,17:11
567,7.25,19.74,07/17/2018,0:18
568,4.0,9.71,12/04/2018,19:1
569,4.0,15.36,05/06/2018,23:23
570,6.25,7.05,12/12/2018,1:33
571,6.0,5.85,10/24/2018,19:57
572,4.0,20.12,03/21/2018,17:17
573,6.25,28.95,10/11/2018,1:17
574,5.75,8.77,10/04/2018,20:54
575,6.0,21.19,07/08/2018,22:32
576,6.62,24.22,02/28/2018,22:29
577,7.0,8.45,12/21/2018,17:59
578,5.0,25.39,11/08/2018,1:30
579,4.0,10.76,08/05/2018,21:25
580,6.0,17.10,08/05/2018,22:52
581,6.62,25.64,05/27/2018,21:8
582,6.0,16.92,07/08/2018,19:41
583,4.0,8.14,09/27/2018,16:37
584,4.0,7.36,02/09/2018,22:18
585,4.0,25.73,05/14/2018,16:28
586,4.0,15.34,08/18/2018,16:9
587,6.0,24.39,05/14/2018,23:32
588,4.0,5.30,11/04/2018,21:1
589,6.25,26.21,12/23/2018,23:50
590,7.0,21.06,06/28/2018,15:16
591,6.35,32.45,08/18/2018,22:46
592,4.0,10.92,06/05/2018,19:59
593,4.0,41.18,12/16/2018,21:23
594,6.0,19.02,02/02/2018,16:41
595,4.0,17.02,03/28/2018,22:13
596,6.0,12.00,02/04/2018,15:26
597,6.62,28.86,07/17/2018,17:12
598,6.25,11.61,10/17/2018,23:11
599,6.0,23.64,09/27/2018,0:43
600,4.0,14.58,03/25/2018,22:18
601,6.62,24.31,07/11/2018,17:58
602,6.0,20.38,06/11/2018,22:16
603,6.0,27.51,06/03/2018,19:10
604,6.0,26.47,01/28/2018,21:45
605,5.75,30.37,06/20/2018,18:28
606,6.25,14.71,04/12/2018,17:53
607,7.0,21.74,07/21/2018,1:17
608,6.0,31.44,02/25/2018,22:46
609,4.0,27.97,12/20/2018,18:33
610,6.0,6.07,07/13/2018,23:14
611,6.25,25.65,04/06/2018,23:6
612,6.0,9.73,05/22/2018,1:42
613,6.62,28.83,04/19/2018,15:56
614,6.0,27.78,04/11/2018,19:56
615,4.75,21.89,07/05/2018,15:54
616,6.0,17.94,02/16/2018,21:8
617,6.0,31.72,07/22/2018,23:23
618,4.0,40.82,04/12/2018,22:49
619,6.0,20.83,05/03/2018,15:39
620,7.25,9.20,10/11/2018,1:33
621,4.0,37.25,04/13/2018,23:32
622,6.62,10.26,11/24/2018,0:57
623,6.62,30.74,07/16/2018,1:26
624,6.62,33.36,04/08/2018,16:18
625,6.0,17.07,11/09/2018,21:11
626,6.62,28.86,11/15/2018,23:50
627,6.0,9.43,11/09/2018,15:51
628,4.75,7.07,05/07/2018,1:38
629,4.0,5.89,12/28/2018,22:39
630,6.0,7.97,08/18/2018,18:29
631,6.62,21.00,04/04/2018,0:27
632,6.25,21.07,02/15/2018,16:27
633,5.0,7.88,01/19/2018,21:17
634,6.62,32.00,12/15/2018,19:22
635,5.3,20.94,09/16/2018,1:9
636,4.0,19.20,07/19/2018,17:35
637,4.75,6.96,01/06/2018,23:12
638,7.0,13.01,09/16/2018,22:23
639,4.0,18.26,03/08/2018,15:58
640,6.0,14.84,07/02/2018,22:2
641,5.3,8.65,09/21/2018,1:43
642,6.0,34.79,01/17/2018,1:7
643,6.35,7.88,05/28/2018,21:36
644,6.62,19.90,04/22/2018,19:39
645,6.62,25.05,01/02/2018,1:22
646,6.62,8.92,12/11/2018,0:16
647,4.0,13.82,03/03/2018,19:46
648,4.0,20.16,08/02/2018,22:48
649,6.0,32.22,05/01/2018,22:20
650,6.0,28.67,06/10/2018,1:19
651,6.0,30.87,12/24/2018,19:14
652,6.0,11.63,08/07/2018,19:29
653,6.87,35.38,05/06/2018,1:7
654,7.0,10.86,02/04/2018,1:29
655,5.75,29.98,07/11/2018,18:58
656,6.0,9.38,04/03/2018,21:20
657,6.0,34.60,08/03/2018,23:5
658,4.0,25.65,01/21/2018,20:33
659,6.0,16.86,02/22/2018,16:24
660,4.75,9.11,11/17/2018,15:20
661,6.0,7.81,06/22/2018,21:50
662,6.25,28.77,09/18/2018,20:34
663,6.62,21.45,08/20/2018,1:4
664,5.75,39.04,08/20/2018,19:34
