barId,barName,license,open,close,phone,address,city,state
63,Pete’s Dueling Piano Bar ,TN43970,13:00,01:00,(628) 383-9588,302 Acacia Ave.,Antioch,TN
64,Clyde Common ,MI30314,13:00,04:00,(901) 359-2105,9832 Lake View St.,Grandville,MI
65,The Bar Room at the Beekman Hotel ,FL54116,14:00,02:00,(924) 683-9763,89 W. La Sierra Ave.,North Miami Beach,FL
66,The Violet Hour ,GA56448,13:00,02:00,(358) 988-4605,8875 Woodland Street,Douglasville,GA
67,Occidental ,GA53816,13:00,01:00,(222) 780-1705,17 Cedar St.,Fairburn,GA
68,The Whining Pig ,TX92845,14:00,04:00,(486) 685-2050,9839 East Gulf Rd.,Houston,TX
69,Seamstress ,FL95387,15:00,01:00,(450) 590-4154,892 Santa Clara St.,Boynton Beach,FL
70,barmini by José Andres ,CA29691,14:00,02:00,(312) 520-4422,9180 E. Rockledge St.,Los Angeles,CA
71,Apothéke ,TN89707,15:00,04:00,(378) 450-7517,7451 North Mayfield Rd.,Mount Juliet,TN
72,Blackberry Farm ,IL44308,13:00,04:00,(412) 413-5753,9061 Baker Ave.,Barrington,IL
73,Robert’s Western World ,MA85990,15:00,04:00,(782) 936-1118,219 Crescent Dr.,Marlborough,MA
74,Ticonderoga Club ,NY40569,12:00,01:00,(440) 229-6381,7654 Richardson Lane,Carmel,NY
75,McSorley’s Old Ale House ,NE26554,14:00,03:00,(236) 628-5259,310 South Wild Horse Lane,Grand Island,NE
76,BackBar ,FL92413,13:00,01:00,(960) 213-1974,20 Sulphur Springs Rd.,Lady Lake,FL
77,The Wayland ,NY83591,15:00,01:00,(800) 803-0528,9565 Riverview Drive,Bethpage,NY
78,Barnacle Bar ,OH30307,15:00,01:00,(787) 650-3867,805 Bayport Court,Loveland,OH
79,The Varnish ,PA24143,15:00,04:00,(625) 222-7945,9973 Pin Oak Road,Pittsburgh,PA
80,McGreevy’s ,LA51132,14:00,01:00,(444) 656-8166,91 Winding Way Drive,Baton Rouge,LA
81,The Sound Table ,OH84414,13:00,03:00,(251) 619-8057,73 Peachtree Lane,Springboro,OH
82,The Magdalenae Room ,NC25005,12:00,03:00,(520) 668-8222,6 High Circle,High Point,NC
83,Half Step ,PA19448,13:00,02:00,(564) 449-3876,9983 Tailwater Drive,New Castle,PA
84,Brimmer & Heeltap ,CT67422,12:00,04:00,(825) 586-4616,76 Court St.,Norwich,CT
85,The Brewer’s Art ,NY10819,14:00,04:00,(406) 739-4987,69 Thomas St.,Webster,NY
86,Gooski’s ,CT63628,15:00,02:00,(342) 699-2460,5 Walnut Lane,Naugatuck,CT
87,Spilt Milk ,SC68429,15:00,02:00,(524) 650-1653,176 Mammoth St.,North Augusta,SC
88,Sassafras Saloon ,PA58744,13:00,01:00,(956) 204-7421,55 Shipley Street,Williamsport,PA
89,Slowly Shirley ,MN61320,14:00,02:00,(705) 616-0870,9642 Honey Creek Dr.,Saint Cloud,MN
90,Tiny’s Restaurant & Lounge ,IA55660,13:00,02:00,(835) 452-7090,8887 N. Manor Station St.,Cedar Rapids,IA
91,Raven & Rose ,NY79652,14:00,02:00,(464) 586-2195,999 West Circle St.,Auburn,NY
92,Diamond Reef ,FL72629,12:00,04:00,(738) 832-3816,76 S. Olive Court,Stuart,FL
93,Kask ,AL51553,13:00,04:00,(991) 706-6100,5 Bay Meadows Lane,Enterprise,AL
94,B.D. Riley's  ,NY30959,13:00,03:00,(611) 608-9804,9345 Gainsway Street,Coram,NY
95,Beach Tree Bar ,WI60005,13:00,04:00,(980) 515-6047,378 North Mill Pond Ave.,Appleton,WI
96,Bit House Saloon ,IL62712,15:00,03:00,(465) 554-7008,32 Longfellow St.,Glen Ellyn,IL
97,Vesper Bar ,NC59797,15:00,01:00,(659) 808-6015,7356 Illinois Dr.,Chapel Hill,NC
98,The Hawthorne ,MI29210,12:00,02:00,(843) 794-9575,9428 School St.,Lincoln Park,MI
99,Prizefighter ,NJ25472,13:00,02:00,(374) 993-7098,7182 Goldfield Dr.,Plainfield,NJ
